count,species,genus,family,order,class,phylum,kingdom,superkingdom
2,Variovorax sp. NW-2013-Rh12,Variovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
2,Streptomyces rapamycinicus,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteria,-,Bacteria
2,Microdochium sp. P7 MLB-2013,Microdochium,Microdochiaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,Eukaryota
28,Brachypodium distachyon,Brachypodium,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
1,Ficedula albicollis,Ficedula,Muscicapidae,Passeriformes,Aves,Chordata,Metazoa,Eukaryota
6,Gemmataceae bacterium,-,Gemmataceae,Gemmatales,Planctomycetia,Planctomycetes,-,Bacteria
3,Ralstonia pickettii,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
1,Cydia splendana,Cydia,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa,Eukaryota
3,Streptomyces collinus,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,-,Bacteria
5,Aegilops speltoides,Aegilops,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
1,Thunnus maccoyii,Thunnus,Scombridae,Scombriformes,Actinopteri,Chordata,Metazoa,Eukaryota
2,Geotrichum candidum,Geotrichum,Dipodascaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota
6,Ganoderma australe,Ganoderma,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
1,Passiflora suberosa,Passiflora,Passifloraceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
1,Beauveria pseudobassiana,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukaryota
2,Sciaphila ledermannii,Sciaphila,Triuridaceae,Pandanales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
1,Plectus velox,Plectus,Plectidae,Plectida,Chromadorea,Nematoda,Metazoa,Eukaryota
1,Vigna radiata,Vigna,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
6,Ganoderma orbiforme,Ganoderma,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
1,Rhodococcus sp. NW-2013-S2,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
3,Clostridium saccharobutylicum,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,-,Bacteria
1,Andrena haemorrhoa,Andrena,Andrenidae,Hymenoptera,Insecta,Arthropoda,Metazoa,Eukaryota
1,Cervus elaphus,Cervus,Cervidae,Artiodactyla,Mammalia,Chordata,Metazoa,Eukaryota
1,Rumex hastatus,Rumex,Polygonaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
1,Cantharellula umbonata,Cantharellula,Hygrophoraceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
1,endosymbiont of unidentified scaly snail isolate Monju,-,-,-,Gammaproteobacteria,Proteobacteria,-,Bacteria
1,Ganoderma chalceum,Ganoderma,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
1,Ectemnius lituratus,Ectemnius,Crabronidae,Hymenoptera,Insecta,Arthropoda,Metazoa,Eukaryota
1,Rhodobacter sphaeroides,Rhodobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,-,Bacteria
2,Bacillus sp. AW25M04,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
1,Clavispora lusitaniae,Clavispora,Metschnikowiaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota
1,Coccomyxa subellipsoidea,Coccomyxa,-,-,Trebouxiophyceae,Chlorophyta,Viridiplantae,Eukaryota
1,uncultured Candida,-,-,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota
61,Terrestrivirus sp.,-,Mimiviridae,Imitervirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Viruses
8,Epilithonimonas vandammei,Epilithonimonas,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,-,Bacteria
5,Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1,Mesorhizobium,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
7,Flagellospora curvula,Flagellospora,Leotiaceae,Leotiales,Leotiomycetes,Ascomycota,Fungi,Eukaryota
3,Leotiomycetes sp. BY-2018c,-,-,-,Leotiomycetes,Ascomycota,Fungi,Eukaryota
14,Egibacter rhizosphaerae,Egibacter,Egibacteraceae,Egibacterales,Nitriliruptoria,Actinobacteria,-,Bacteria
31,Roseburia intestinalis,Roseburia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,-,Bacteria
25,Methylocella tundrae,Methylocella,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
4,Pseudomonas orientalis,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
27,Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1,Mesorhizobium,Phyllobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
1,Actinobacteria bacterium YIM 96077,-,-,-,Actinobacteria,Actinobacteria,-,Bacteria
7,Edafosvirus sp.,-,Mimiviridae,Imitervirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Viruses
2,Chryseobacterium haifense,Kaistella,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,-,Bacteria
22,Entacmaea quadricolor,Entacmaea,Actiniidae,Actiniaria,Anthozoa,Cnidaria,Metazoa,Eukaryota
1,Pseudomonas sp. R2-7-07,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
7,Lichenihabitans psoromatis,Lichenihabitans,Lichenihabitantaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
7,Actinoplanes sp. OR16,Actinoplanes,Micromonosporaceae,Micromonosporales,Actinobacteria,Actinobacteria,-,Bacteria
8,Eleusine indica,Eleusine,Poaceae,Poales,Liliopsida,Streptophyta,Viridiplantae,Eukaryota
4,Methylosinus trichosporium,Methylosinus,Methylocystaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
2,Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2,Mesorhizobium,Phyllobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
1,Leotiomycetes sp. BY-2018b,-,-,-,Leotiomycetes,Ascomycota,Fungi,Eukaryota
2,Paenisporosarcina antarctica,Paenisporosarcina,Planococcaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
1,Streptomyces sp. WAC 01438,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteria,-,Bacteria
1,Pseudomonas sp. SXM-1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
1,Endogone pisiformis,Endogone,Endogonaceae,Endogonales,Endogonomycetes,Mucoromycota,Fungi,Eukaryota
1,Heteractis magnifica,Heteractis,Stichodactylidae,Actiniaria,Anthozoa,Cnidaria,Metazoa,Eukaryota
